symbol,strike_price,type,bid_price,ask_price,open_interest,volume,chance_of_profit_short,chance_of_profit_long,delta,implied_volatility,theta
AAL,2.5,put,0.000000,0.020000,0,0,0.981275,0.018725,-0.002607,7.138292,-0.011239
AAL,5.0,put,0.000000,0.020000,0,0,0.985467,0.014533,-0.00442,4.373973,-0.011066
AAL,6.0,put,0.000000,0.020000,0,0,0.985791,0.014209,-0.005306,3.659706,-0.010894
AAL,7.0,put,0.000000,0.020000,0,0,0.985692,0.014308,-0.006358,3.056463,-0.010679
AAL,7.5,put,0.000000,0.020000,0,0,0.985493,0.014507,-0.006968,2.785991,-0.010555
AAL,8.0,put,0.000000,0.030000,26,0,0.985192,0.014808,-0.007652,2.532373,-0.010418
AAL,8.5,put,0.000000,0.030000,50,0,0.984776,0.015224,-0.008427,2.293314,-0.010267
AAL,9.0,put,0.000000,0.020000,321,0,0.984230,0.015770,-0.009316,2.066916,-0.010102
AAL,9.5,put,0.000000,0.020000,675,0,0.983527,0.016473,-0.01035,1.851517,-0.009918
AAL,10.0,put,0.000000,0.020000,458,1,0.982631,0.017369,-0.011575,1.645735,-0.009714
AAL,10.5,put,0.000000,0.010000,5412,0,0.981482,0.018518,-0.013055,1.448285,-0.009484
AAL,11.0,put,0.000000,0.010000,2475,5,0.979993,0.020007,-0.01489,1.257985,-0.009223
AAL,11.5,put,0.000000,0.010000,2967,229,0.978015,0.021985,-0.017242,1.073722,-0.008921
AAL,12.0,put,0.000000,0.010000,2583,105,0.975294,0.024706,-0.020391,0.89432,-0.008563
AAL,12.5,put,0.010000,0.020000,1377,500,0.953467,0.046533,-0.040776,0.813515,-0.013835
AAL,13.0,put,0.020000,0.030000,1913,647,0.927798,0.072202,-0.067542,0.680691,-0.017241
AAL,13.5,put,0.030000,0.040000,6033,1414,0.891769,0.108231,-0.109293,0.513788,-0.018574
AAL,14.0,put,0.090000,0.100000,2464,4079,0.775506,0.224494,-0.264056,0.422259,-0.026445
AAL,14.5,put,0.290000,0.310000,393,5481,0.608930,0.391070,-0.584135,0.393062,-0.028758
AAL,15.0,put,0.660000,0.710000,138,231,0.527001,0.472999,-0.827976,0.442144,-0.020284
AAL,15.5,put,1.120000,1.210000,94,88,0.506503,0.493497,-0.900727,0.573604,-0.017607
AAL,16.0,put,1.590000,1.680000,44,31,0.492677,0.507323,-0.972385,0.549968,-0.004652
AAL,16.5,put,2.080000,2.180000,1,0,,,,,
AAL,17.0,put,2.560000,2.710000,1,2,0.486368,0.513632,-0.979066,0.805643,-0.005597
AAL,17.5,put,3.100000,3.200000,0,0,0.483758,0.516242,-0.966601,1.039629,-0.012736
AAL,18.0,put,3.550000,3.700000,0,0,,,,,
AAL,18.5,put,4.050000,4.200000,0,0,,,,,
AAL,19.0,put,4.600000,4.700000,0,0,0.475543,0.524457,-0.972963,1.391269,-0.014375
AAL,19.5,put,5.100000,5.200000,0,21,0.473122,0.526878,-0.974329,1.499682,-0.014849
AAL,20.0,put,5.550000,5.700000,0,28,0.478783,0.521217,-0.999219,1.022589,0.00225
AAL,21.0,put,6.550000,6.700000,0,0,0.474254,0.525746,-0.99837,1.255096,0.001632
AAL,22.0,put,7.550000,7.700000,0,0,0.470371,0.529629,-0.997753,1.45289,0.001061
AAL,22.5,put,8.050000,8.200000,0,0,0.468547,0.531453,-0.997496,1.545473,0.000783
AAL,25.0,put,10.550000,10.700000,0,0,0.460186,0.539814,-0.996502,1.968689,-0.000565
AAP,75.0,put,0.000000,0.150000,0,0,0.997390,0.002610,-0.00148,1.783403,-0.014686
AAP,80.0,put,0.000000,0.100000,0,0,0.997257,0.002743,-0.001669,1.575433,-0.014471
AAP,85.0,put,0.000000,0.150000,0,0,0.997082,0.002918,-0.001897,1.379016,-0.01423
AAP,90.0,put,0.000000,0.100000,1,0,0.996851,0.003149,-0.00218,1.192549,-0.013954
AAP,95.0,put,0.000000,0.150000,1,0,0.996539,0.003461,-0.002542,1.014664,-0.013637
AAP,100.0,put,0.000000,0.150000,4,0,0.996109,0.003891,-0.003025,0.844083,-0.013262
AAP,101.0,put,0.000000,0.100000,0,0,0.996002,0.003998,-0.003141,0.810729,-0.013178
AAP,102.0,put,0.000000,0.100000,0,0,0.995888,0.004112,-0.003267,0.777613,-0.013091
AAP,103.0,put,0.000000,0.100000,0,0,0.995763,0.004237,-0.003402,0.744717,-0.013
AAP,104.0,put,0.000000,0.150000,3,0,0.995629,0.004371,-0.003548,0.712034,-0.012905
AAP,105.0,put,0.000000,0.100000,0,0,0.995482,0.004518,-0.003707,0.679563,-0.012806
AAP,106.0,put,0.000000,0.150000,1,0,0.995321,0.004679,-0.003879,0.647265,-0.012701
AAP,107.0,put,0.000000,0.100000,0,0,0.995145,0.004855,-0.004068,0.615156,-0.012592
AAP,108.0,put,0.000000,0.150000,6,0,0.994950,0.005050,-0.004275,0.583206,-0.012476
AAP,109.0,put,0.000000,0.150000,2,0,0.994735,0.005265,-0.004504,0.551414,-0.012354
AAP,110.0,put,0.000000,0.150000,6,0,0.994494,0.005506,-0.004758,0.519765,-0.012224
AAP,111.0,put,0.000000,0.200000,3,0,0.994225,0.005775,-0.005043,0.488235,-0.012086
AAP,112.0,put,0.000000,0.150000,9,2,0.993920,0.006080,-0.005363,0.456807,-0.011938
AAP,113.0,put,0.000000,0.200000,10,0,0.993573,0.006427,-0.005727,0.425469,-0.011779
AAP,114.0,put,0.000000,0.150000,13,1,0.993174,0.006826,-0.006145,0.394203,-0.011608
AAP,115.0,put,0.050000,0.100000,5,9,0.964965,0.035035,-0.032401,0.489782,-0.060215
AAP,116.0,put,0.050000,0.150000,435,23,0.956542,0.043458,-0.040851,0.469542,-0.069722
AAP,117.0,put,0.100000,0.200000,5,5,0.939421,0.060579,-0.058262,0.466366,-0.091882
AAP,118.0,put,0.100000,0.700000,159,13,0.885379,0.114621,-0.115996,0.544998,-0.180094
AAP,119.0,put,0.200000,0.350000,603,48,0.898724,0.101276,-0.1027,0.444222,-0.134217
