Symbol,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ratio
ABBV,147.0,0.95,1.02,1.14,-0.02,-2.06%,148,653,17.16%,0.6462585034013605
ABBV,148.0,1.51,1.58,1.74,0.07,+4.86%,53,278,17.12%,1.0202702702702702
ABBV,149.0,1.95,2.29,2.49,-0.45,-18.75%,8,264,17.38%,1.308724832214765
ABBV,150.0,2.78,3.1,3.5,-0.34,-10.90%,13,533,22.07%,1.8533333333333333
ABBV,152.5,4.3,5.55,5.9,-1.0,-18.87%,3,555,29.00%,2.819672131147541
AMZN,107.0,1.4,1.37,1.45,-0.56,-28.57%,4051,1204,28.03%,1.308411214953271
AMZN,108.0,1.96,1.95,2.03,-0.69,-26.04%,2809,5411,27.15%,1.8148148148148149
AMZN,109.0,2.82,2.63,2.75,-0.55,-16.32%,1188,772,26.76%,2.5871559633027523
AMZN,110.0,3.6,3.3,3.6,-0.77,-17.62%,546,2204,27.44%,3.272727272727273
AMZN,111.0,4.6,4.3,4.65,-0.48,-9.45%,97,527,34.86%,4.144144144144144
BAC,28.0,0.5,0.5,0.52,-0.02,-3.85%,1852,6853,27.74%,1.7857142857142856
BAC,28.5,0.81,0.84,0.95,0.04,+5.19%,87,927,33.79%,2.8421052631578947
BAC,29.0,1.35,1.28,1.37,0.13,+10.66%,925,3498,31.25%,4.655172413793104
BAC,29.5,1.78,1.78,1.93,0.06,+3.49%,16,862,51.95%,6.033898305084746
BAC,30.0,2.32,2.28,2.43,0.05,+2.20%,112,1580,61.33%,7.733333333333332
IBM,122.0,1.26,1.26,1.34,0.16,+14.55%,191,768,16.99%,1.0327868852459017
IBM,123.0,1.9,1.96,2.07,0.14,+7.95%,96,818,16.94%,1.5447154471544715
IBM,124.0,2.9,2.81,2.97,0.45,+18.37%,85,745,18.65%,2.338709677419355
IBM,125.0,3.8,3.75,4.0,0.45,+13.43%,63,403,24.41%,3.04
IBM,126.0,4.95,4.65,5.0,0.75,+17.86%,1,295,28.81%,3.928571428571429
IP,32.5,0.45,0.5,0.65,0.0,-,1,31,32.23%,1.3846153846153846
IP,33.0,0.7,0.85,1.05,0.0,-,3,41,35.94%,2.121212121212121
IP,34.0,2.08,1.7,2.1,0.0,-,47,23,61.52%,6.11764705882353
IP,35.0,1.57,2.7,3.1,0.0,-,2,6,79.69%,4.485714285714286
IP,36.0,4.0,3.5,4.4,0.0,-,6,8,71.48%,11.11111111111111
KHC,41.0,0.32,0.28,0.32,0.1,+45.45%,56,132,14.94%,0.7804878048780488
KHC,41.5,0.68,0.62,0.72,0.18,+36.00%,9,64,18.56%,1.6385542168674698
KHC,42.0,1.22,1.08,1.26,0.22,+22.00%,7,10,29.98%,2.9047619047619047
KHC,42.5,1.16,1.47,1.88,0.0,-,2,1,47.66%,2.7294117647058824
KHC,43.5,3.96,1.77,2.87,0.0,-,1,1,62.31%,9.10344827586207
