Symbol,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ratio
ABBV,100.0,0.03,0.0,0.01,0.0,-,305,326,118.75%,0.03
ABBV,110.0,0.03,0.0,0.03,0.0,-,-,1,103.13%,0.027272727272727275
ABBV,120.0,0.03,0.0,0.03,0.0,-,20,33,74.22%,0.025
ABBV,125.0,0.01,0.0,0.02,0.0,-,56,220,57.81%,0.008
ABBV,128.0,0.02,0.0,0.03,0.0,-,135,228,52.34%,0.015625
ABBV,129.0,0.07,0.0,0.03,0.0,-,22,22,50.00%,0.054263565891472874
ABBV,130.0,0.02,0.0,0.02,0.0,-,11,38,48.44%,0.015384615384615385
ABBV,131.0,0.02,0.01,0.03,0.0,-,2,31,48.44%,0.015267175572519085
ABBV,132.0,0.02,0.01,0.03,0.0,-,16,19,45.70%,0.015151515151515152
ABBV,133.0,0.05,0.01,0.03,0.0,-,1,26,42.97%,0.03759398496240602
ABBV,134.0,0.05,0.0,0.03,0.0,-,1,3,39.84%,0.0373134328358209
ABBV,135.0,0.02,0.01,0.06,-0.02,-50.00%,2,107,41.21%,0.014814814814814815
ABBV,137.0,0.02,0.02,0.06,-0.01,-33.33%,11,22,35.16%,0.014598540145985403
ABBV,138.0,0.08,0.02,0.07,0.0,-,2,23,32.91%,0.057971014492753624
ABBV,139.0,0.05,0.03,0.09,0.0,-,1,9,31.25%,0.03597122302158273
ABBV,140.0,0.04,0.04,0.06,-0.03,-42.86%,46,147,25.78%,0.028571428571428574
ABBV,141.0,0.12,0.03,0.11,0.0,-,14,16,25.59%,0.0851063829787234
ABBV,142.0,0.07,0.08,0.14,-0.07,-50.00%,11,37,23.44%,0.049295774647887335
ABBV,143.0,0.12,0.12,0.19,-0.07,-36.84%,18,44,21.39%,0.08391608391608392
ABBV,144.0,0.24,0.23,0.3,-0.06,-20.00%,21,100,20.26%,0.16666666666666666
ABBV,145.0,0.43,0.41,0.46,0.01,+2.38%,62,293,18.90%,0.296551724137931
ABBV,146.0,0.5,0.64,0.74,-0.23,-31.51%,41,186,18.09%,0.3424657534246575
ABBV,147.0,0.95,1.02,1.14,-0.02,-2.06%,148,653,17.16%,0.6462585034013605
ABBV,148.0,1.51,1.58,1.74,0.07,+4.86%,53,278,17.12%,1.0202702702702702
ABBV,149.0,1.95,2.29,2.49,-0.45,-18.75%,8,264,17.38%,1.308724832214765
ABBV,150.0,2.78,3.1,3.5,-0.34,-10.90%,13,533,22.07%,1.8533333333333333
ABBV,152.5,4.3,5.55,5.9,-1.0,-18.87%,3,555,29.00%,2.819672131147541
ABBV,155.0,7.65,8.05,8.4,-0.41,-5.09%,17,95,37.60%,4.935483870967742
ABBV,157.5,10.15,10.4,10.85,2.85,+39.04%,24,41,43.26%,6.444444444444445
ABBV,160.0,12.85,12.9,13.4,0.0,-,250,113,53.32%,8.03125
ABBV,162.5,15.35,15.4,15.9,0.1,+0.66%,122,49,60.74%,9.446153846153846
ABBV,165.0,17.91,17.9,18.35,0.16,+0.90%,3,5,64.55%,10.854545454545454
ABBV,167.5,19.95,20.45,20.8,3.5,+21.28%,4,0,67.19%,11.910447761194028
ABBV,170.0,21.25,22.9,23.3,0.0,-,3,0,73.24%,12.5
ABBV,180.0,18.6,32.85,33.45,0.0,-,-,0,109.38%,10.333333333333334
ABBV,182.5,35.1,35.25,35.95,0.0,-,-,0,115.23%,19.232876712328768
ABBV,185.0,23.57,38.0,38.45,0.0,-,-,0,94.92%,12.74054054054054
AMZN,55.0,0.01,0.0,0.01,0.0,-,1,119,206.25%,0.018181818181818184
AMZN,60.0,0.01,0.0,0.01,0.0,-,2,7518,181.25%,0.016666666666666666
AMZN,65.0,0.01,0.0,0.01,0.0,-,1,370,156.25%,0.015384615384615385
AMZN,70.0,0.01,0.0,0.01,0.0,-,1,1218,134.38%,0.014285714285714287
AMZN,75.0,0.01,0.0,0.01,0.0,-,11,1664,112.50%,0.013333333333333334
AMZN,80.0,0.01,0.0,0.01,0.0,-,11,8374,93.75%,0.0125
AMZN,81.0,0.01,0.0,0.01,0.0,-,37,536,90.63%,0.01234567901234568
AMZN,82.0,0.01,0.0,0.0,0.0,-,11,131,50.00%,0.012195121951219513
AMZN,83.0,0.01,0.0,0.0,0.0,-,12,4263,50.00%,0.012048192771084338
AMZN,84.0,0.01,0.0,0.0,0.0,-,3,3925,50.00%,0.011904761904761904
AMZN,85.0,0.01,0.0,0.01,0.0,-,4,2936,75.00%,0.011764705882352941
AMZN,86.0,0.01,0.0,0.0,0.0,-,863,545,50.00%,0.011627906976744186
AMZN,87.0,0.01,0.0,0.01,0.0,-,5,1898,68.75%,0.011494252873563218
AMZN,88.0,0.01,0.0,0.01,0.0,-,5,1792,65.63%,0.011363636363636364
AMZN,89.0,0.01,0.0,0.01,0.0,-,1009,2077,62.50%,0.011235955056179775
AMZN,90.0,0.01,0.0,0.01,-0.01,-50.00%,573,1724,59.38%,0.011111111111111112
AMZN,91.0,0.01,0.01,0.02,-0.01,-50.00%,327,2886,61.72%,0.010989010989010988
AMZN,92.0,0.01,0.0,0.02,0.0,-,69,636,55.47%,0.010869565217391304
AMZN,93.0,0.01,0.01,0.02,-0.01,-50.00%,32,1241,53.91%,0.010752688172043012
AMZN,94.0,0.02,0.01,0.02,0.0,-,54,1330,50.78%,0.02127659574468085
AMZN,95.0,0.02,0.02,0.03,0.0,-,125,2643,50.00%,0.021052631578947368
AMZN,96.0,0.02,0.02,0.03,-0.01,-33.33%,120,1825,47.27%,0.020833333333333336
AMZN,97.0,0.03,0.02,0.03,-0.02,-40.00%,275,2247,42.97%,0.03092783505154639
AMZN,98.0,0.04,0.03,0.04,-0.01,-20.00%,372,2674,40.82%,0.04081632653061225
AMZN,99.0,0.05,0.04,0.05,-0.02,-28.57%,831,3216,38.09%,0.050505050505050504
AMZN,100.0,0.06,0.06,0.07,-0.06,-50.00%,3219,7625,35.94%,0.06
AMZN,101.0,0.09,0.09,0.1,-0.09,-50.00%,1514,3230,33.79%,0.0891089108910891
AMZN,102.0,0.14,0.15,0.16,-0.13,-48.15%,2184,5106,32.42%,0.13725490196078433
AMZN,103.0,0.24,0.24,0.25,-0.19,-44.19%,4642,6564,30.96%,0.23300970873786406
AMZN,104.0,0.41,0.38,0.4,-0.24,-36.92%,6301,4337,29.88%,0.3942307692307692
AMZN,105.0,0.63,0.61,0.64,-0.34,-35.05%,17695,10412,29.25%,0.6
AMZN,106.0,0.94,0.94,0.97,-0.46,-32.86%,24169,2429,28.27%,0.8867924528301886
AMZN,107.0,1.4,1.37,1.45,-0.56,-28.57%,4051,1204,28.03%,1.308411214953271
AMZN,108.0,1.96,1.95,2.03,-0.69,-26.04%,2809,5411,27.15%,1.8148148148148149
AMZN,109.0,2.82,2.63,2.75,-0.55,-16.32%,1188,772,26.76%,2.5871559633027523
AMZN,110.0,3.6,3.3,3.6,-0.77,-17.62%,546,2204,27.44%,3.272727272727273
AMZN,111.0,4.6,4.3,4.65,-0.48,-9.45%,97,527,34.86%,4.1441441441441444
AMZN,112.0,5.55,5.05,5.75,-0.47,-7.81%,100,161,44.14%,4.955357142857142
AMZN,113.0,6.9,6.2,6.6,-1.15,-14.29%,11,83,42.58%,6.106194690265488
